(Área de Estudo: QUADRIMESTRAL - Estudo: 3º QUADRIMESTRE/2025 - Área de Carga: EC - Responsável: ONSCarga - Situação do Caso: Gerado Oficial  versão 01
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)(  Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10)
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: AC-ENERGISA AC - dez/2025 - Ajuste Hora: 18
 4001M                                                      6.3  0.7
 4002M                                                     25.6  0.4
 4003M                                                     27.3  4.1
 4004M                                                     20.7 -5.6
 4005M                                                     29.2  2.5
 4006M                                                     10.5  0.1
 4007M                                                     50.1  3.5
 4008M                                                      9.8  1.3
 4009M                                                     12.9  4.0
 4010M                                                     26.5  4.7
 4011M                                                      7.0  0.1
 4018M                                                     56.8 18.4
 4019M                                                     20.5  4.5
 4020M                                                     47.0 12.5
 4021M                                                     18.4 -0.2
 4022M                                                     55.1 15.3
 4023M                                                     42.0  9.0
 4024M                                                     36.7 -3.0
 4025M                                                     26.0 -4.6
 4026M                                                     50.4-10.5
 4029M                                                     31.4  3.3
 4030M                                                     11.9  3.1
 4031M                                                     53.8  3.9
 4032M                                                     43.2  3.9
 4033M                                                     31.0 -1.4
 4034M                                                     10.0  0.0
 4036M                                                     35.1  1.9
 4037M                                                     26.0 13.6
 4038M                                                     31.1  3.4
 4041M                                                     20.7  5.1
 4045M                                                     52.7  8.7
 4048M                                                     80.8 19.6
 4056M                                                     55.9 10.9
 4057M                                                     48.1 11.1
 4059M                                                     35.2 -8.0
 4060M                                                     14.1 -4.2
 4061M                                                     42.7  7.4
 4062M                                                     15.2  0.8
 4063M                                                      4.1  3.1
 4073M                                                     23.1  1.9
 4074M                                                      3.3  3.6
 4077M                                                     16.6  4.4
 4080M                                                     12.8  1.7
 4081M                                                     13.4  9.5
 4082M                                                     18.9  3.1
 4084M                                                     63.2  5.9
 4086M                                                    159.6 30.0
 4087M                                                    138.3 37.0
 4088M                                                     11.5  3.9
 4091M                                                      0.6  0.3
 4092M                                                     24.2 -1.5
 4099M                                                      3.5  1.9
 4320M                                                      7.3 -3.2
